PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
684,18.40%,8.20%,0.245,2.4,19.60%,41.10%,39.30%,10.70%,18.90%,13.60%,51.50%,34.90%,50.10%,37.00%,64.30%,65.60%,85.90%,-19.4,37,0.292,0.349,0.537,0.376,129,-2.3,2.6
318,15.10%,8.80%,0.159,2.5,20.70%,46.70%,32.60%,10.10%,7.60%,14.10%,48.80%,37.20%,43.70%,32.40%,57.40%,73.20%,88.00%,-11.1,6,0.321,0.381,0.479,0.376,142,0,1.5
671,15.50%,9.80%,0.179,3.4,22.20%,55.60%,22.20%,7.20%,22.50%,21.80%,48.70%,29.50%,46.90%,31.40%,66.00%,63.20%,90.00%,-12.3,25,0.318,0.385,0.498,0.376,135,1.8,4.1
607,27.30%,15.80%,0.247,2.5,18.00%,31.70%,50.30%,9.70%,18.80%,15.60%,48.70%,35.70%,44.00%,23.10%,68.00%,56.50%,76.50%,-5.5,31,0.247,0.377,0.494,0.376,132,-1.6,3.8
672,11.00%,11.20%,0.177,2.1,21.20%,43.50%,35.40%,7.10%,12.50%,11.90%,58.30%,29.80%,38.90%,24.00%,55.30%,79.70%,93.30%,-4.4,23,0.303,0.381,0.48,0.375,126,-2.1,3.8
566,19.10%,14.30%,0.235,4,26.20%,30.60%,43.20%,4.40%,13.30%,10.00%,48.10%,41.90%,38.70%,22.90%,56.30%,59.70%,93.10%,-8.7,21,0.271,0.38,0.505,0.375,136,-3.1,3.2
589,17.30%,10.00%,0.209,3.5,25.20%,44.10%,30.70%,3.80%,18.50%,12.20%,54.90%,32.90%,48.10%,27.80%,69.80%,60.30%,86.20%,-0.1,24,0.297,0.368,0.506,0.375,124,-0.6,3.6
508,14.60%,8.70%,0.172,1.6,21.60%,42.80%,35.60%,5.80%,9.40%,13.70%,50.80%,35.60%,51.40%,36.80%,71.70%,66.70%,87.20%,-17.9,13,0.32,0.378,0.491,0.375,127,-6.5,1
317,27.80%,6.30%,0.264,4.1,25.50%,34.60%,39.90%,6.00%,20.50%,14.40%,51.00%,34.60%,53.80%,41.20%,68.20%,56.00%,77.20%,-10.4,17,0.285,0.331,0.549,0.375,126,-2.4,0.8
147,17.00%,22.40%,0.211,0.7,23.50%,37.60%,38.80%,15.20%,15.20%,16.50%,49.40%,34.10%,32.60%,14.30%,53.80%,67.40%,89.90%,-0.9,5,0.22,0.415,0.431,0.374,126,-0.1,0.9
429,22.10%,11.00%,0.247,1.6,23.10%,43.40%,33.60%,11.50%,26.00%,19.60%,41.60%,38.80%,44.80%,33.20%,60.80%,62.20%,83.00%,-5.3,25,0.289,0.366,0.536,0.374,133,-4.6,2.2
708,20.50%,12.70%,0.173,3.3,31.00%,36.60%,32.50%,2.60%,11.90%,11.40%,48.80%,39.80%,49.70%,31.00%,75.50%,64.80%,82.10%,-11.4,18,0.288,0.386,0.461,0.374,140,-4,4.1
625,16.80%,12.30%,0.165,3.5,20.80%,34.40%,44.70%,2.60%,8.40%,12.70%,49.90%,37.50%,40.00%,23.30%,54.60%,69.00%,88.00%,-0.1,16,0.288,0.39,0.453,0.374,124,1.4,4.1
514,17.30%,7.20%,0.215,2.6,22.70%,43.90%,33.30%,8.50%,17.10%,15.50%,55.00%,29.50%,43.10%,28.90%,58.80%,70.80%,91.00%,-10.6,22,0.307,0.354,0.522,0.374,137,-4.6,2.5
655,22.60%,15.90%,0.199,3.7,27.80%,26.30%,46.00%,6.00%,9.30%,16.60%,47.00%,36.40%,47.50%,26.10%,72.80%,61.30%,82.80%,-6,17,0.275,0.394,0.474,0.374,137,-2.8,4.3
678,11.50%,10.20%,0.151,1.1,18.30%,47.70%,34.00%,4.50%,8.40%,14.50%,49.10%,36.50%,42.00%,26.40%,57.70%,72.10%,89.90%,-17,15,0.318,0.388,0.469,0.373,133,-12.6,2
